country,year,child_mortality,life_expectancy,fertility,population,gdp,continent
Abkhazia,1920,NA,NA,NA,NA,NA,NA
Abkhazia,1921,NA,NA,NA,NA,NA,NA
Abkhazia,1922,NA,NA,NA,NA,NA,NA
Abkhazia,1923,NA,NA,NA,NA,NA,NA
Abkhazia,1924,NA,NA,NA,NA,NA,NA
Abkhazia,1925,NA,NA,NA,NA,NA,NA
Abkhazia,1926,NA,NA,NA,NA,NA,NA
Abkhazia,1927,NA,NA,NA,NA,NA,NA
Abkhazia,1928,NA,NA,NA,NA,NA,NA
Abkhazia,1929,NA,NA,NA,NA,NA,NA
Abkhazia,1930,NA,NA,NA,NA,NA,NA
Abkhazia,1931,NA,NA,NA,NA,NA,NA
Abkhazia,1932,NA,NA,NA,NA,NA,NA
Abkhazia,1933,NA,NA,NA,NA,NA,NA
Abkhazia,1934,NA,NA,NA,NA,NA,NA
Abkhazia,1935,NA,NA,NA,NA,NA,NA
Abkhazia,1936,NA,NA,NA,NA,NA,NA
Abkhazia,1937,NA,NA,NA,NA,NA,NA
Abkhazia,1938,NA,NA,NA,NA,NA,NA
Abkhazia,1939,NA,NA,NA,NA,NA,NA
Abkhazia,1940,NA,NA,NA,NA,NA,NA
Abkhazia,1941,NA,NA,NA,NA,NA,NA
Abkhazia,1942,NA,NA,NA,NA,NA,NA
Abkhazia,1943,NA,NA,NA,NA,NA,NA
Abkhazia,1944,NA,NA,NA,NA,NA,NA
Abkhazia,1945,NA,NA,NA,NA,NA,NA
Abkhazia,1946,NA,NA,NA,NA,NA,NA
Abkhazia,1947,NA,NA,NA,NA,NA,NA
Abkhazia,1948,NA,NA,NA,NA,NA,NA
Abkhazia,1949,NA,NA,NA,NA,NA,NA
Abkhazia,1950,NA,NA,NA,NA,NA,NA
Abkhazia,1951,NA,NA,NA,NA,NA,NA
Abkhazia,1952,NA,NA,NA,NA,NA,NA
Abkhazia,1953,NA,NA,NA,NA,NA,NA
Abkhazia,1954,NA,NA,NA,NA,NA,NA
Abkhazia,1955,NA,NA,NA,NA,NA,NA
Abkhazia,1956,NA,NA,NA,NA,NA,NA
Abkhazia,1957,NA,NA,NA,NA,NA,NA
Abkhazia,1958,NA,NA,NA,NA,NA,NA
Abkhazia,1959,NA,NA,NA,NA,NA,NA
Abkhazia,1960,NA,NA,NA,NA,NA,NA
Abkhazia,1961,NA,NA,NA,NA,NA,NA
Abkhazia,1962,NA,NA,NA,NA,NA,NA
Abkhazia,1963,NA,NA,NA,NA,NA,NA
Abkhazia,1964,NA,NA,NA,NA,NA,NA
Abkhazia,1965,NA,NA,NA,NA,NA,NA
Abkhazia,1966,NA,NA,NA,NA,NA,NA
Abkhazia,1967,NA,NA,NA,NA,NA,NA
Abkhazia,1968,NA,NA,NA,NA,NA,NA
Abkhazia,1969,NA,NA,NA,NA,NA,NA
Abkhazia,1970,NA,NA,NA,NA,NA,NA
Abkhazia,1971,NA,NA,NA,NA,NA,NA
Abkhazia,1972,NA,NA,NA,NA,NA,NA
Abkhazia,1973,NA,NA,NA,NA,NA,NA
Abkhazia,1974,NA,NA,NA,NA,NA,NA
Abkhazia,1975,NA,NA,NA,NA,NA,NA
Abkhazia,1976,NA,NA,NA,NA,NA,NA
Abkhazia,1977,NA,NA,NA,NA,NA,NA
Abkhazia,1978,NA,NA,NA,NA,NA,NA
Abkhazia,1979,NA,NA,NA,NA,NA,NA
Abkhazia,1980,NA,NA,NA,NA,NA,NA
Abkhazia,1981,NA,NA,NA,NA,NA,NA
Abkhazia,1982,NA,NA,NA,NA,NA,NA
Abkhazia,1983,NA,NA,NA,NA,NA,NA
Abkhazia,1984,NA,NA,NA,NA,NA,NA
Abkhazia,1985,NA,NA,NA,NA,NA,NA
Abkhazia,1986,NA,NA,NA,NA,NA,NA
Abkhazia,1987,NA,NA,NA,NA,NA,NA
Abkhazia,1988,NA,NA,NA,NA,NA,NA
Abkhazia,1989,NA,NA,NA,NA,NA,NA
Abkhazia,1990,NA,NA,NA,NA,NA,NA
Abkhazia,1991,NA,NA,NA,NA,NA,NA
Abkhazia,1992,NA,NA,NA,NA,NA,NA
Abkhazia,1993,NA,NA,NA,NA,NA,NA
Abkhazia,1994,NA,NA,NA,NA,NA,NA
Abkhazia,1995,NA,NA,NA,NA,NA,NA
Abkhazia,1996,NA,NA,NA,NA,NA,NA
Abkhazia,1997,NA,NA,NA,NA,NA,NA
Abkhazia,1998,NA,NA,NA,NA,NA,NA
Abkhazia,1999,NA,NA,NA,NA,NA,NA
Abkhazia,2000,NA,NA,NA,NA,NA,NA
Abkhazia,2001,NA,NA,NA,NA,NA,NA
Abkhazia,2002,NA,NA,NA,NA,NA,NA
Abkhazia,2003,NA,NA,NA,NA,NA,NA
Abkhazia,2004,NA,NA,NA,NA,NA,NA
Abkhazia,2005,NA,NA,NA,NA,NA,NA
Abkhazia,2006,NA,NA,NA,NA,NA,NA
Abkhazia,2007,NA,NA,NA,NA,NA,NA
Abkhazia,2008,NA,NA,NA,NA,NA,NA
Abkhazia,2009,NA,NA,NA,NA,NA,NA
Abkhazia,2010,NA,NA,NA,NA,NA,NA
Abkhazia,2011,NA,NA,NA,NA,NA,NA
Abkhazia,2012,NA,NA,NA,NA,NA,NA
Abkhazia,2013,NA,NA,NA,NA,NA,NA
Abkhazia,2014,NA,NA,NA,NA,NA,NA
Abkhazia,2015,NA,NA,NA,NA,NA,NA
Afghanistan,1800,468.58,28.21,7,3280000,NA,Asia
Afghanistan,1801,468.58,28.2,7,NA,NA,Asia
Afghanistan,1802,468.58,28.19,7,NA,NA,Asia
Afghanistan,1803,468.58,28.18,7,NA,NA,Asia
Afghanistan,1804,468.58,28.17,7,NA,NA,Asia
Afghanistan,1805,468.58,28.16,7,NA,NA,Asia
Afghanistan,1806,469.98,28.15,7,NA,NA,Asia
Afghanistan,1807,469.98,28.14,7,NA,NA,Asia
Afghanistan,1808,469.98,28.13,7,NA,NA,Asia
Afghanistan,1809,469.98,28.12,7,NA,NA,Asia
Afghanistan,1810,469.98,28.11,7,3280000,NA,Asia
Afghanistan,1811,469.98,28.1,7,NA,NA,Asia
Afghanistan,1812,469.98,28.09,7,NA,NA,Asia
Afghanistan,1813,469.98,28.08,7,NA,NA,Asia
Afghanistan,1814,469.98,28.07,7,NA,NA,Asia
Afghanistan,1815,469.98,28.06,7,NA,NA,Asia
Afghanistan,1816,471.38,28.05,7,NA,NA,Asia
Afghanistan,1817,471.38,28.04,7,NA,NA,Asia
Afghanistan,1818,471.38,28.03,7,NA,NA,Asia
Afghanistan,1819,471.38,28.02,7,NA,NA,Asia
Afghanistan,1820,471.38,28.01,7,3323519,NA,Asia
Afghanistan,1821,471.38,28,7,NA,NA,Asia
Afghanistan,1822,471.38,27.99,7,NA,NA,Asia
Afghanistan,1823,471.38,27.98,7,NA,NA,Asia
Afghanistan,1824,471.38,27.97,7,NA,NA,Asia
Afghanistan,1825,471.38,27.95,7,NA,NA,Asia
Afghanistan,1826,472.81,27.94,7,NA,NA,Asia
Afghanistan,1827,472.81,27.93,7,NA,NA,Asia
Afghanistan,1828,472.81,27.92,7,NA,NA,Asia
Afghanistan,1829,472.81,27.91,7,NA,NA,Asia
Afghanistan,1830,472.81,27.9,7,3448982,NA,Asia
Afghanistan,1831,472.81,27.89,7,NA,NA,Asia
Afghanistan,1832,472.81,27.88,7,NA,NA,Asia
Afghanistan,1833,472.81,27.87,7,NA,NA,Asia
Afghanistan,1834,472.81,27.86,7,NA,NA,Asia
Afghanistan,1835,472.81,27.85,7,NA,NA,Asia
Afghanistan,1836,474.24,27.84,7,NA,NA,Asia
Afghanistan,1837,474.24,27.83,7,NA,NA,Asia
Afghanistan,1838,474.24,27.82,7,NA,NA,Asia
Afghanistan,1839,474.24,27.81,7,NA,NA,Asia
Afghanistan,1840,474.24,27.8,7,3625022,NA,Asia
Afghanistan,1841,474.24,27.79,7,NA,NA,Asia
Afghanistan,1842,474.24,27.78,7,NA,NA,Asia
Afghanistan,1843,474.24,27.77,7,NA,NA,Asia
Afghanistan,1844,474.24,27.76,7,NA,NA,Asia
Afghanistan,1845,475.67,27.75,7,NA,NA,Asia
Afghanistan,1846,475.67,27.74,7,NA,NA,Asia
Afghanistan,1847,475.67,27.73,7,NA,NA,Asia
Afghanistan,1848,475.67,27.72,7,NA,NA,Asia
Afghanistan,1849,475.67,27.71,7,NA,NA,Asia
Afghanistan,1850,475.67,27.7,7,3810047,NA,Asia
Afghanistan,1851,475.67,27.69,7,NA,NA,Asia
Afghanistan,1852,475.67,27.68,7,NA,NA,Asia
Afghanistan,1853,475.67,27.67,7,NA,NA,Asia
Afghanistan,1854,475.67,27.66,7,NA,NA,Asia
Afghanistan,1855,477.1,27.65,7,NA,NA,Asia
Afghanistan,1856,477.1,27.64,7,NA,NA,Asia
Afghanistan,1857,477.1,27.63,7,NA,NA,Asia
Afghanistan,1858,477.1,27.62,7,NA,NA,Asia
Afghanistan,1859,477.1,27.61,7,NA,NA,Asia
Afghanistan,1860,477.1,27.6,7,3973968,NA,Asia
Afghanistan,1861,477.1,27.59,7,NA,NA,Asia
Afghanistan,1862,477.1,27.58,7,NA,NA,Asia
Afghanistan,1863,477.1,27.57,7,NA,NA,Asia
Afghanistan,1864,477.1,27.56,7,NA,NA,Asia
Afghanistan,1865,478.53,27.54,7,NA,NA,Asia
Afghanistan,1866,478.53,27.53,7,NA,NA,Asia
Afghanistan,1867,478.53,27.52,7,NA,NA,Asia
Afghanistan,1868,478.53,27.51,7,NA,NA,Asia
Afghanistan,1869,478.53,27.5,7,NA,NA,Asia
Afghanistan,1870,478.53,27.49,7,4169690,NA,Asia
Afghanistan,1871,478.53,27.48,7,NA,NA,Asia
Afghanistan,1872,478.53,27.47,7,NA,NA,Asia
Afghanistan,1873,478.53,27.46,7,NA,NA,Asia
Afghanistan,1874,478.53,27.45,7,NA,NA,Asia
Afghanistan,1875,479.96,27.44,7,NA,NA,Asia
Afghanistan,1876,479.96,27.43,7,NA,NA,Asia
Afghanistan,1877,479.96,27.42,7,NA,NA,Asia
Afghanistan,1878,479.96,27.41,7,NA,NA,Asia
Afghanistan,1879,479.96,27.4,7,NA,NA,Asia
Afghanistan,1880,479.96,27.39,7,4419695,NA,Asia
Afghanistan,1881,479.96,27.38,7,NA,NA,Asia
Afghanistan,1882,479.96,27.37,7,NA,NA,Asia
Afghanistan,1883,479.96,27.36,7,NA,NA,Asia
Afghanistan,1884,479.96,27.35,7,NA,NA,Asia
Afghanistan,1885,481.39,27.34,7,NA,NA,Asia
Afghanistan,1886,481.39,27.33,7,NA,NA,Asia
Afghanistan,1887,481.39,27.32,7,NA,NA,Asia
Afghanistan,1888,481.39,27.31,7,NA,NA,Asia
Afghanistan,1889,481.39,27.3,7,NA,NA,Asia
Afghanistan,1890,481.39,27.29,7,4710171,NA,Asia
Afghanistan,1891,481.39,27.28,7,NA,NA,Asia
Afghanistan,1892,481.39,27.27,7,NA,NA,Asia
Afghanistan,1893,481.39,27.26,7,NA,NA,Asia
Afghanistan,1894,482.81,27.25,7,NA,NA,Asia
Afghanistan,1895,482.77,27.24,7,NA,NA,Asia
Afghanistan,1896,482.69,27.23,7,NA,NA,Asia
Afghanistan,1897,482.57,27.22,7,NA,NA,Asia
Afghanistan,1898,482.38,27.21,7,NA,NA,Asia
Afghanistan,1899,482.11,27.2,7,NA,NA,Asia
Afghanistan,1900,481.77,27.19,7,5021241,NA,Asia
Afghanistan,1901,481.36,27.18,7,NA,NA,Asia
Afghanistan,1902,480.87,27.17,7,NA,NA,Asia
Afghanistan,1903,480.3,27.16,7,NA,NA,Asia
Afghanistan,1904,481.08,27.15,7,NA,NA,Asia
Afghanistan,1905,480.36,27.14,7,NA,NA,Asia
Afghanistan,1906,479.57,27.12,7,NA,NA,Asia
Afghanistan,1907,478.69,27.11,7,NA,NA,Asia
Afghanistan,1908,477.75,27.1,7,NA,NA,Asia
Afghanistan,1909,476.74,27.09,7,NA,NA,Asia
Afghanistan,1910,475.68,27.08,7,5351413,NA,Asia
Afghanistan,1911,474.58,27.07,7,NA,NA,Asia
Afghanistan,1912,473.45,27.06,7,NA,NA,Asia
Afghanistan,1913,472.32,27.05,7,NA,NA,Asia
Afghanistan,1914,472.57,27.04,7,NA,NA,Asia
Afghanistan,1915,471.43,27.03,7,NA,NA,Asia
Afghanistan,1916,470.29,27.02,7,NA,NA,Asia
Afghanistan,1917,469.15,27.01,7,NA,NA,Asia
Afghanistan,1918,468.14,7.05,7,NA,NA,Asia
Afghanistan,1919,467.14,26.99,7,NA,NA,Asia
Afghanistan,1920,466.14,26.98,7,5813814,NA,Asia
Afghanistan,1921,465.13,26.97,7,NA,NA,Asia
Afghanistan,1922,464.12,26.96,7,NA,NA,Asia
Afghanistan,1923,463.11,26.95,7,NA,NA,Asia
Afghanistan,1924,463.5,26.94,7,NA,NA,Asia
Afghanistan,1925,462.49,26.93,7,NA,NA,Asia
Afghanistan,1926,461.46,26.92,7.03,NA,NA,Asia
Afghanistan,1927,460.45,26.91,7.05,NA,NA,Asia
Afghanistan,1928,459.44,26.9,7.08,NA,NA,Asia
Afghanistan,1929,458.42,26.89,7.11,NA,NA,Asia
Afghanistan,1930,457.4,26.88,7.14,6394908,NA,Asia
Afghanistan,1931,456.39,26.87,7.16,NA,NA,Asia
Afghanistan,1932,455.36,26.86,7.19,NA,NA,Asia
Afghanistan,1933,455.71,26.85,7.22,NA,NA,Asia
Afghanistan,1934,454.7,26.84,7.24,NA,NA,Asia
Afghanistan,1935,453.67,26.83,7.27,NA,NA,Asia
Afghanistan,1936,452.64,26.82,7.3,NA,NA,Asia
Afghanistan,1937,451.63,26.81,7.32,NA,NA,Asia
Afghanistan,1938,450.6,26.8,7.35,NA,NA,Asia
Afghanistan,1939,449.57,26.79,7.38,NA,NA,Asia
Afghanistan,1940,448.55,26.78,7.4,7034081,NA,Asia
Afghanistan,1941,447.52,26.79,7.43,NA,NA,Asia
Afghanistan,1942,446.49,26.8,7.46,NA,NA,Asia
Afghanistan,1943,446.8,26.8,7.48,NA,NA,Asia
Afghanistan,1944,445.76,26.81,7.51,NA,NA,Asia
Afghanistan,1945,444.73,26.82,7.54,NA,NA,Asia
Afghanistan,1946,443.7,26.82,7.56,NA,NA,Asia
Afghanistan,1947,442.66,26.83,7.59,NA,NA,Asia
Afghanistan,1948,441.63,26.83,7.62,NA,NA,Asia
Afghanistan,1949,440.59,26.84,7.64,NA,NA,Asia
Afghanistan,1950,439.56,26.85,7.67,7752118,NA,Asia
Afghanistan,1951,435.9,27.13,7.67,7839426,NA,Asia
Afghanistan,1952,426.11,27.67,7.67,7934798,NA,Asia
Afghanistan,1953,416.55,28.19,7.67,8038312,NA,Asia
Afghanistan,1954,407.2,28.73,7.67,8150037,NA,Asia
Afghanistan,1955,398.07,29.27,7.67,8270024,NA,Asia
Afghanistan,1956,389.13,29.8,7.67,8398309,NA,Asia
Afghanistan,1957,380.4,30.34,7.67,8534913,NA,Asia
Afghanistan,1958,374.1,30.86,7.67,8679848,NA,Asia
Afghanistan,1959,368.1,31.4,7.67,8833127,NA,Asia
Afghanistan,1960,362.4,31.94,7.67,8994793,NA,Asia
Afghanistan,1961,356.5,32.47,7.67,9164945,NA,Asia
Afghanistan,1962,350.6,33.01,7.67,9343772,NA,Asia
Afghanistan,1963,345,33.53,7.67,9531555,NA,Asia
Afghanistan,1964,339.7,34.07,7.67,9728645,NA,Asia
Afghanistan,1965,334.1,34.6,7.67,9935358,NA,Asia
Afghanistan,1966,328.7,35.13,7.67,10148841,NA,Asia
Afghanistan,1967,323.3,35.66,7.67,10368600,NA,Asia
Afghanistan,1968,318.1,36.17,7.67,10599790,NA,Asia
Afghanistan,1969,313,36.69,7.67,10849510,NA,Asia
Afghanistan,1970,307.8,37.2,7.67,11121097,NA,Asia
Afghanistan,1971,302.1,37.7,7.67,11412821,NA,Asia
Afghanistan,1972,296.4,38.19,7.67,11716896,NA,Asia
Afghanistan,1973,290.8,38.67,7.67,12022514,NA,Asia
Afghanistan,1974,284.9,39.14,7.67,12315553,NA,Asia
Afghanistan,1975,279.4,39.61,7.67,12582954,NA,Asia
Afghanistan,1976,273.6,40.07,7.67,12831361,NA,Asia
Afghanistan,1977,267.8,40.53,7.67,13056499,NA,Asia
Afghanistan,1978,261.6,40.98,7.67,13222547,NA,Asia
Afghanistan,1979,255.5,41.46,7.67,13283279,NA,Asia
Afghanistan,1980,249.1,41.96,7.67,13211412,NA,Asia
Afghanistan,1981,242.7,42.51,7.67,12996923,NA,Asia
Afghanistan,1982,236.2,43.11,7.67,12667001,NA,Asia
Afghanistan,1983,229.7,43.75,7.67,12279095,NA,Asia
Afghanistan,1984,222.9,44.45,7.68,11912510,NA,Asia
Afghanistan,1985,216,45.21,7.68,11630498,NA,Asia
Afghanistan,1986,209.2,46.02,7.68,11438949,NA,Asia
Afghanistan,1987,202.1,46.87,7.68,11337932,NA,Asia
Afghanistan,1988,195,47.74,7.68,11375768,NA,Asia
Afghanistan,1989,187.8,48.62,7.68,11608351,NA,Asia
Afghanistan,1990,181,49.5,7.69,12067570,NA,Asia
Afghanistan,1991,174.2,49.3,7.7,12789374,NA,Asia
Afghanistan,1992,167.8,49.4,7.73,13745630,NA,Asia
Afghanistan,1993,162,49.5,7.76,14824371,NA,Asia
Afghanistan,1994,156.8,48.9,7.8,15869967,NA,Asia
Afghanistan,1995,152.3,49.4,7.83,16772522,NA,Asia
Afghanistan,1996,148.6,49.7,7.86,17481800,NA,Asia
Afghanistan,1997,145.5,49.5,7.87,18034130,NA,Asia
Afghanistan,1998,142.6,48.6,7.85,18511480,NA,Asia
Afghanistan,1999,139.9,50,7.81,19038420,NA,Asia
Afghanistan,2000,137,50.1,7.73,19701940,NA,Asia
Afghanistan,2001,133.8,50.4,7.62,20531160,NA,Asia
Afghanistan,2002,130.3,51,7.48,21487079,NA,Asia
Afghanistan,2003,126.8,51.4,7.32,22507368,NA,Asia
Afghanistan,2004,123.2,51.8,7.14,23499850,NA,Asia
Afghanistan,2005,119.6,52,6.93,24399948,NA,Asia
Afghanistan,2006,116.3,52.1,6.7,25183615,NA,Asia
Afghanistan,2007,113.2,52.4,6.46,25877544,NA,Asia
Afghanistan,2008,110.4,52.8,6.2,26528741,NA,Asia
Afghanistan,2009,107.6,53.3,5.93,27207291,NA,Asia
Afghanistan,2010,105,53.6,5.66,27962207,NA,Asia
Afghanistan,2011,102.3,54,5.4,28809167,NA,Asia
Afghanistan,2012,99.5,54.4,5.14,29726803,NA,Asia
Afghanistan,2013,96.7,54.8,4.9,30682500,NA,Asia
Afghanistan,2014,93.9,54.9,4.68,31627506,NA,Asia
Afghanistan,2015,91.1,53.8,4.47,32526562,NA,Asia
Akrotiri and Dhekelia,1800,NA,NA,NA,NA,NA,Europe
Akrotiri and Dhekelia,1801,NA,NA,NA,NA,NA,Europe
Akrotiri and Dhekelia,1802,NA,NA,NA,NA,NA,Europe
Akrotiri and Dhekelia,1803,NA,NA,NA,NA,NA,Europe
Akrotiri and Dhekelia,1804,NA,NA,NA,NA,NA,Europe
Akrotiri and Dhekelia,1805,NA,NA,NA,NA,NA,Europe
Akrotiri and Dhekelia,1806,NA,NA,NA,NA,NA,Europe
Akrotiri and Dhekelia,1807,NA,NA,NA,NA,NA,Europe
Akrotiri and Dhekelia,1808,NA,NA,NA,NA,NA,Europe
Akrotiri and Dhekelia,1809,NA,NA,NA,NA,NA,Europe
Akrotiri and Dhekelia,1810,NA,NA,NA,NA,NA,Europe
Akrotiri and Dhekelia,1811,NA,NA,NA,NA,NA,Europe
Akrotiri and Dhekelia,1812,NA,NA,NA,NA,NA,Europe
Akrotiri and Dhekelia,1813,NA,NA,NA,NA,NA,Europe
Akrotiri and Dhekelia,1814,NA,NA,NA,NA,NA,Europe
Akrotiri and Dhekelia,1815,NA,NA,NA,NA,NA,Europe
Akrotiri and Dhekelia,1816,NA,NA,NA,NA,NA,Europe
Akrotiri and Dhekelia,1817,NA,NA,NA,NA,NA,Europe
Akrotiri and Dhekelia,1818,NA,NA,NA,NA,NA,Europe
Akrotiri and Dhekelia,1819,NA,NA,NA,NA,NA,Europe
Akrotiri and Dhekelia,1820,NA,NA,NA,NA,NA,Europe
Akrotiri and Dhekelia,1821,NA,NA,NA,NA,NA,Europe
Akrotiri and Dhekelia,1822,NA,NA,NA,NA,NA,Europe
Akrotiri and Dhekelia,1823,NA,NA,NA,NA,NA,Europe
Akrotiri and Dhekelia,1824,NA,NA,NA,NA,NA,Europe
Akrotiri and Dhekelia,1825,NA,NA,NA,NA,NA,Europe
Akrotiri and Dhekelia,1826,NA,NA,NA,NA,NA,Europe
Akrotiri and Dhekelia,1827,NA,NA,NA,NA,NA,Europe
Akrotiri and Dhekelia,1828,NA,NA,NA,NA,NA,Europe
Akrotiri and Dhekelia,1829,NA,NA,NA,NA,NA,Europe
Akrotiri and Dhekelia,1830,NA,NA,NA,NA,NA,Europe
Akrotiri and Dhekelia,1831,NA,NA,NA,NA,NA,Europe
